"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5219.22338503625,5.63563416896702,0.121408872366691,46.4186353032398,0,0
"ENSG00000159167",1619.0530916519,5.46700620590251,0.148394284314051,36.8410834094696,4.06298868453221e-297,2.80854092818289e-293
"ENSG00000131016",2301.14714246916,3.73928205869829,0.126111231891572,29.6506663412286,3.32511921199985e-193,1.5323257701966e-189
"ENSG00000150594",1311.40326458624,4.61015888671513,0.158416182067699,29.1015654243263,3.4298330747284e-186,1.185436056453e-182
"ENSG00000096088",996.709407678459,3.98905566031465,0.146809107494913,27.1717179429953,1.40261615075689e-162,3.8782336568428e-159
"ENSG00000140459",604.024137167886,5.96514167120879,0.220268042541488,27.0812851577652,1.63591767127189e-161,3.76942696755564e-158
"ENSG00000158406",5444.32254356617,3.03558353788344,0.113149119968206,26.8281674549163,1.51669239637516e-158,2.99546748284095e-155
"ENSG00000104419",15549.1339384382,2.99156226886297,0.112802467891317,26.5203618749305,5.64500719659603e-155,9.75527806161752e-152
"ENSG00000157219",564.826905080247,6.09972320582643,0.239520079423185,25.4664378056146,4.64249642411328e-143,7.13139034037401e-140
"ENSG00000137801",1841.58175039623,3.57790380963773,0.143679172710969,24.9020351532452,7.07192913086858e-137,9.77694202342581e-134
"ENSG00000143847",829.868955293376,4.12644513898017,0.168858115624731,24.4373515819088,6.85915610097272e-132,8.62071209963162e-129
"ENSG00000172243",698.437697315044,4.03366857614512,0.17310586746484,23.3017438127244,4.25640937810637e-120,4.90373830436005e-117
"ENSG00000146648",6097.54913004511,2.66667470774776,0.115581233424388,23.071865810225,8.875279557305e-118,9.43851845228781e-115
"ENSG00000134240",1046.86496577604,-3.33216839921954,0.145626248279387,-22.8816469461377,7.07777699744167e-116,6.98930478497365e-113
"ENSG00000131389",795.304532774643,4.031392949738,0.177600747109258,22.6991891383088,4.56334000016189e-114,4.20587836681587e-111
"ENSG00000170525",2259.89474093457,2.82439249834733,0.125124345715036,22.572685453075,8.04110278930713e-113,6.94801537888569e-110
"ENSG00000115414",28778.6189472582,2.88379473278916,0.129948235140082,22.1918730152855,4.11493625221306e-109,3.34641139334386e-106
"ENSG00000166292",441.567019502071,4.75521682823813,0.215047746390326,22.1123769398034,2.40276321951221e-108,1.84545563943091e-105
"ENSG00000114268",1398.73367792739,2.85516684303102,0.129245988069253,22.0909514150734,3.861766216037e-108,2.80994304930061e-105
"ENSG00000125629",1951.80351353375,2.79835515600436,0.130962515477925,21.3676038963688,2.67513703564803e-101,1.8491884758917e-98
"ENSG00000164188",732.61394922325,3.40603735780123,0.160742374861,21.1894179163805,1.19566221554008e-99,7.8714429189722e-97
"ENSG00000134333",46973.6429907885,1.92581816053754,0.0970380373858521,19.846013093607,1.19299591406366e-87,7.49689477815004e-85
"ENSG00000102144",24360.4910468206,2.20327697285422,0.111206313897433,19.8125168943765,2.32182490843533e-87,1.39561866778776e-84
"ENSG00000164850",470.454267109538,3.57986690437777,0.18259400606626,19.6056101813041,1.38481369892701e-85,7.97710391152747e-83
"ENSG00000197520",511.51374441782,3.7083983054674,0.189179562692109,19.6025313342268,1.47120206465779e-85,8.13574741755756e-83
"ENSG00000115738",1280.92281465968,2.49588187300499,0.12847143004543,19.4275246420344,4.51622542291134e-84,2.4014160181442e-81
"ENSG00000131711",12133.4807155102,2.08278553893243,0.107901066511684,19.302733571284,5.09417067280947e-83,2.60840405746633e-80
"ENSG00000176171",14131.0080750779,2.05796412596316,0.107846336551394,19.0823739755169,3.5381720129105e-81,1.74697243137456e-78
"ENSG00000149925",3108.09763917817,2.28880447359024,0.122183593304038,18.7325025537172,2.68970112404214e-78,1.28224544965112e-75
"ENSG00000196968",747.241834188117,2.7021299482101,0.148377016376956,18.2112433191489,4.20293004458643e-74,1.93685026221358e-71
"ENSG00000293570",999.712817101374,-2.48177552291898,0.13809640129729,-17.9713265487366,3.26805888881551e-72,1.45744884315724e-69
"ENSG00000114023",13104.8924546304,1.81924527996269,0.102116899367935,17.8153203947939,5.37492586503149e-71,2.32213594012689e-68
"ENSG00000104765",16124.8731725437,2.11994281270359,0.119800065479473,17.6956732387331,4.52786679468432e-70,1.89395609472274e-67
"ENSG00000134107",1488.95665203165,2.37889707802283,0.134445939463533,17.6940790292004,4.65783054036695e-70,1.89395609472274e-67
"ENSG00000124766",6891.41164217862,1.86406182554733,0.106644846949106,17.4791551478986,2.06536476747334e-68,8.15819083151971e-66
"ENSG00000163516",3612.55242155812,1.85280280775936,0.106620130033837,17.3776078417027,1.2193473654407e-67,4.68263259089379e-65
"ENSG00000168461",285.72357535219,4.00057502788403,0.233077193083238,17.1641634042474,4.92528633257144e-66,1.84032658237298e-63
"ENSG00000129521",1118.46067645988,2.55891753144773,0.149175010859422,17.1537948393996,5.88788368906495e-66,2.14210505266639e-63
"ENSG00000172175",9548.30931103243,2.35677899051989,0.137766670433627,17.1070330951733,1.315308221313e-65,4.66259901529544e-63
"ENSG00000067057",3807.46154780173,1.97058778889001,0.11580307127232,17.0167143862361,6.17392813618696e-65,2.13386391206962e-62
"ENSG00000154734",16574.7285285875,1.89081548914651,0.111301837248221,16.9881785951986,1.0046059475873e-64,3.3874822500962e-62
"ENSG00000100906",4245.22980837133,1.91403955911413,0.112869880480388,16.9579302376129,1.68164481229622e-64,5.5354141738084e-62
"ENSG00000154478",215.662281456173,6.2549135607721,0.37109257224805,16.8553995109099,9.57588374744439e-64,3.07875797228881e-61
"ENSG00000196091",581.302869250527,2.79079219960698,0.170086714537448,16.4080551922975,1.67485022960251e-60,5.26245555096698e-58
"ENSG00000124157",231.441448330036,4.48066021918973,0.273709554123313,16.3701272085339,3.12559990382998e-60,9.60253748232209e-58
"ENSG00000163171",1730.14544652045,1.98552946861521,0.121558615758405,16.3339262809754,5.66202930490679e-60,1.70168598131166e-57
"ENSG00000095739",1415.17353218545,2.07918779916116,0.128208689073587,16.2172144039924,3.81090807240298e-59,1.12097455533981e-56
"ENSG00000144481",1053.21879417382,2.68036971900901,0.167227478451897,16.0282852066087,8.10896643821028e-58,2.33555127100536e-55
"ENSG00000152256",2393.55422790768,2.01074747350315,0.125837817342513,15.9788807209694,1.79337182792097e-57,5.05987051449132e-55
"ENSG00000069667",316.790639147103,3.20732779471226,0.200917938156892,15.9633720320568,2.29963946894897e-57,6.35850313164389e-55
"ENSG00000075886",790.21356036987,2.25662147723609,0.143156096719753,15.7633627134562,5.5594473340336e-56,1.50704626260813e-53
"ENSG00000100867",681.591720619534,-2.38815081835625,0.153198522213873,-15.5886021865293,8.70167930130037e-55,2.31347531423995e-52
"ENSG00000135919",491.538925045483,3.04126304872339,0.195276301571447,15.5741532600189,1.09088026470456e-54,2.84555087915861e-52
"ENSG00000197930",3767.29547209644,2.17374637769871,0.141402942224104,15.3727096728555,2.49511720926063e-53,6.38796211444967e-51
"ENSG00000115548",2288.74872302207,1.89934133590749,0.124729184600155,15.2277219000206,2.31519009666687e-52,5.81954601571262e-50
"ENSG00000206527",4977.40225243144,1.69675999317378,0.112249432683391,15.1159783404842,1.27069731755487e-51,3.1370340027136e-49
